Accession,Title,Technology,Taxonomy,Data Rows,Samples Count,Series Count,Contact,Release Date
GPL9999,NimbleGen human hg18 array (2007-06-15_WiCell_HG18_p14),in situ oligonucleotide,Homo sapiens,47774,33,3,Igor Slukvin,3-Dec-10
GPL11243,Agilent-020623 Dinoroseobacter shibae DFL 12 15k Oligo Microarray (Feature Number version),in situ oligonucleotide,Dinoroseobacter shibae DFL 12 = DSM 16493,15744,199,15,Jürgen Tomasch,3-Dec-10
GPL11269,Arraystar Human lncRNA array version 1,in situ oligonucleotide,Homo sapiens,43373,95,5,Panos Pan,3-Dec-10
GPL10673,NCI Mouse MMEB Array [Mm-MEEB-V1.2p18],spotted oligonucleotide,Mus musculus,36169,12,1,Kebin Liu,2-Dec-10
GPL9740,FCCU_Human_Agilent_44k,spotted oligonucleotide,Homo sapiens,40638,0,0,Nicholas B Shannon,2-Dec-10
GPL11253,Corynebacterium glutamicum ATCC 13032 11K,spotted DNA/cDNA,Corynebacterium glutamicum ATCC 13032,4608,5,1,Jung-Won Youn,2-Dec-10
GPL11257,Eukaryotic gene expression array_Sacchromyces cerevisiae_385K 1-plex arrays,in situ oligonucleotide,Saccharomyces cerevisiae,17604,18,1,Eun-Hee Park,2-Dec-10
GPL11260,Agilent custom ME and HK design array [8mer],in situ oligonucleotide,synthetic construct,32896,4095,27,Harm van Bakel,2-Dec-10
GPL11261,Agilent custom ME and HK design array [9mer],in situ oligonucleotide,synthetic construct,131072,40,1,Harm van Bakel,2-Dec-10
GPL11270,Illumina Genome Analyzer (Gossypium barbadense),high-throughput sequencing,Gossypium barbadense,0,3,2,GEO,2-Dec-10
GPL9517,Multi-species 1.1K miRNA array,spotted oligonucleotide,Caenorhabditis elegans;Danio rerio;Drosophila melanogaster;Homo sapiens;Mus musculus;Rattus norvegicus,1147,24,2,Xiaoxiao Zhang,1-Dec-10
GPL9886,Agilent-017278 whole human genome (hg17) custom 4×44k array,in situ oligonucleotide,Homo sapiens,44674,55,6,GEO admin,1-Dec-10
GPL10085,CapitalBio Cotton 12K cDNA Array v1.0,spotted DNA/cDNA,Gossypium hirsutum,11232,7,1,miao weiguo,1-Dec-10
GPL10113,NimbleGen/UCL human 388K tiling array,spotted oligonucleotide,Homo sapiens,387835,60,1,Gareth Wilson,1-Dec-10
GPL10176,Oryza sativa 60-mer Oligonucleotide Platform,in situ oligonucleotide,Oryza sativa,42477,4,2,Nandula Raghuram,1-Dec-10
GPL10178,Miltenyi Biotec miRXplore miRNA Microarray (717),spotted DNA/cDNA,Homo sapiens;Mus musculus;Rattus norvegicus,6912,9,1,Guy Brock,1-Dec-10
GPL10179,Miltenyi Biotec miRXplore miRNA Microarray (653),spotted DNA/cDNA,Homo sapiens;Mus musculus;Rattus norvegicus,6336,9,1,Guy Brock,1-Dec-10
GPL10469,MIT Agilent Caulobacter 45K Array,spotted oligonucleotide,Caulobacter vibrioides CB15,45206,41,7,Michael Laub,1-Dec-10
GPL10521,UB Mus musculus 22K v1,spotted oligonucleotide,Mus musculus,23232,5,4,Felix Junyent,1-Dec-10
GPL10754,Arborea spruce 11K cDNA microarray,spotted DNA/cDNA,Picea glauca,11036,30,2,Chelsea Ju,1-Dec-10
GPL10760,ICGEB_Homo sapiens_35K_operon oligo_ver4.0,spotted oligonucleotide,Homo sapiens,37632,3,1,Shahid Jameel,1-Dec-10
GPL10901,Bacillus subtilis Custom Agilent 44k v2,in situ oligonucleotide,Bacillus subtilis subsp. subtilis str. 168,41882,83,9,Ulrike Mäder,1-Dec-10
GPL11038,Applied Biosystems TaqMan human microRNA_Array v1.0 early access,RT-PCR,Homo sapiens,365,180,1,christelle borel,1-Dec-10
GPL11119,Montastraea faveolata G2 array,spotted DNA/cDNA,Orbicella faveolata,8395,30,1,Christian Robert Voolstra,1-Dec-10
GPL11182,Kluyveromyces lactis ChIP tiling 240k array,spotted oligonucleotide,Kluyveromyces lactis NRRL Y-1140,241670,12,2,Lauren N Booth,1-Dec-10
GPL11258,Agilent-015066 Xenopus Gene Expression Microarray (Probe Name version),in situ oligonucleotide,Xenopus laevis,21495,35,4,Agilent Technologies,1-Dec-10
GPL11259,Agilent-023001 Bacillus Subtilis strain 168 43k array,in situ oligonucleotide,Bacillus subtilis subsp. subtilis str. 168,42997,6,1,Panos Soultanas,1-Dec-10
GPL11262,Illumina Genome Analyzer (Populus euphratica),high-throughput sequencing,Populus euphratica,0,2,1,GEO,1-Dec-10
GPL10389,CapitalBio 36K Mouse Genome Array,spotted oligonucleotide,Mus musculus,37632,2,2,Weibin Jiang,30-Nov-10
GPL10390,CapitalBio 29K Rat Genome Version 3.0.5 Array,spotted oligonucleotide,Rattus norvegicus,28800,4,2,Weibin Jiang,30-Nov-10
GPL10787,Agilent-028005 SurePrint G3 Mouse GE 8x60K Microarray (Probe Name version),in situ oligonucleotide,Mus musculus,55821,9902,666,Agilent Technologies,30-Nov-10
GPL11152,Superarray Bioscience Corporation - custom array COM-0088,spotted oligonucleotide,Mus musculus,49,18,2,Mirco Galiè,30-Nov-10
GPL11208,RIPCM H. Pylori 3.2K 1576 v1.0,spotted DNA/cDNA,Helicobacter pylori 26695,3210,12,1,Kuvat Momynaliev,30-Nov-10
GPL11236,Maize oligo array version 1.4 slide set (slides A and B),spotted oligonucleotide,Zea mays,54492,45,1,Nicole Christina Riddle,30-Nov-10
GPL11251,Exiqon miRCURY array,spotted oligonucleotide,Mus musculus,2087,9,2,Mirco Galiè,30-Nov-10
GPL8614,TNO/NimbleGen 60-mer TI224308 Bacillus subtilis subsp. subtilis strain 168 array,in situ oligonucleotide,Bacillus subtilis subsp. subtilis str. 168,8208,8,1,Remco Kort,28-Nov-10
GPL11205,PMCC Human 10.5K,spotted DNA/cDNA,Homo sapiens,9741,85,1,Holger Schlueter,27-Nov-10
GPL11248,ZB/SBS-NTU Plasmodium falciparum 3D7 11.4K v1.1,spotted oligonucleotide,Plasmodium falciparum,11372,672,26,Sachel Mok,27-Nov-10
GPL11249,Human 21K,spotted oligonucleotide,Homo sapiens,21713,10,1,Rosa Mancinelli,27-Nov-10
GPL8610,TNO/NimbleGen 60-mer 080328 L. monocytogenes 4bF2365 4x72K array,in situ oligonucleotide,Listeria monocytogenes serotype 4b str. F2365,5639,34,1,Remco Kort,26-Nov-10
GPL9821,NimbleGen T. reesei 2.1M HD2 arrayCGH,in situ oligonucleotide,Trichoderma reesei,2163898,14,1,Marika Vitikainen,26-Nov-10
GPL11018,Habitat specific dsrAB targeted functional gene microarray,in situ oligonucleotide,uncultured sulfate-reducing bacterium,156,83,1,Doris Steger,26-Nov-10
GPL11217,Agilent-017166 Brevibacterium aurantiacum ATCC9174 Array,in situ oligonucleotide,Brevibacterium aurantiacum,6933,20,5,Marie-Pierre FORQUIN,25-Nov-10
GPL11222,mTOR Signaling Phospho Specific Antibody Microarray,antibody,Homo sapiens,140,2,1,huizhi wang,25-Nov-10
GPL11239,TaqMan Array miRNA Card-A,RT-PCR,Homo sapiens,384,112,4,Yong Huang,25-Nov-10
GPL9819,Madhani lab S. pombe 43K euchromatin tiling array,spotted oligonucleotide,Schizosaccharomyces pombe,42683,4,1,Hiten Madhani,24-Nov-10
GPL9820,Madhani lab S. pombe 41K heterochromatin tiling array,spotted oligonucleotide,Schizosaccharomyces pombe,41425,22,1,Hiten Madhani,24-Nov-10
GPL10375,Lactobacillus johnsonii NCC533 Agilent 11K,in situ oligonucleotide,Lactobacillus johnsonii,10807,8,1,Bernard Berger,24-Nov-10
GPL11169,Affymetrix human microbiota probiotic transcriptional platform,in situ oligonucleotide,Bacteroides thetaiotaomicron;Bifidobacterium animalis;Bifidobacterium longum;Lacticaseibacillus casei;Lactobacillus delbrueckii;Streptococcus thermophilus;[Eubacterium] rectale,22993,12,1,Eric Charles Martens,24-Nov-10
GPL11206,Aquafirst_Trout,in situ oligonucleotide,Oncorhynchus mykiss,11088,41,3,Michael Taylor Cairns,24-Nov-10
GPL11234,DTU Agilent Pseudomonas putida KT2440 15K,spotted DNA/cDNA,Pseudomonas putida KT2440,15744,21,1,Gamze Gulez,24-Nov-10
GPL11242,E.coli_12k_Combimatrix,in situ oligonucleotide,Escherichia coli,12544,23,1,Spela Baebler,24-Nov-10
GPL11245,Illumina HiSeq 2000 (Locusta migratoria manilensis),high-throughput sequencing,Locusta migratoria manilensis,0,1,1,GEO,24-Nov-10
GPL9465,Laccaria bicolor 4.9K ADNc macroarray,spotted DNA/cDNA,Laccaria bicolor,4992,23,3,Francis Martin,23-Nov-10
GPL11233,Agilent-027313 Yersinia pestis CO92 tiling array [YP_tiling_244k],in situ oligonucleotide,Yersinia pestis CO92,243504,0,0,PFGRC JCVI,23-Nov-10
GPL9720,University of Cape Town Arabidopsis thaliana 7200 cDNA array,spotted DNA/cDNA,Arabidopsis thaliana,7200,8,1,Dave K Berger,22-Nov-10
GPL9759,QIMR/Agilent-023536 Schistosoma japonicum 44k array_New 2009 Sj,in situ oligonucleotide,Schistosoma japonicum,45220,32,3,Geoffrey Gobert,22-Nov-10
GPL11141,Agilent-023287 Salm_enterica_14028_tiling_array,spotted oligonucleotide,Salmonella enterica subsp. enterica serovar Typhimurium,243504,0,0,Chun-Hua Wan,20-Nov-10
GPL11231,Human Inflammatory Response and Autoimmunity PCR Array,RT-PCR,Homo sapiens,96,24,1,Kenneth Beaman,20-Nov-10
GPL11232,A-UMCU-Y16k-1.3,spotted oligonucleotide,Saccharomyces cerevisiae,15552,4152,34,Patrick Kemmeren,20-Nov-10
GPL11218,"""Dehalococcoides ethenogenes"" strain 195 with Methanogens and Fosmids, Base Composition Method",in situ oligonucleotide,Dehalococcoides mccartyi 195,15744,6,1,Cresten Mansfeldt,18-Nov-10
GPL11229,SAGE:15:NlaIII:Lentinula edodes,SAGE NlaIII,Lentinula edodes,0,2,1,GEO,18-Nov-10
GPL11213,Candida albicans ENS oligo array version 1.0,spotted oligonucleotide,Candida albicans,948,3,1,Rajendra Prasad,17-Nov-10
GPL11219,NimbleGen Homo sapiens HG18 60mer expr (385k),in situ oligonucleotide,Homo sapiens,47633,50,8,"NimbleGen Systems, Inc.",17-Nov-10
GPL11221,Illumina Genome Analyzer IIx (Arabidopsis thaliana),high-throughput sequencing,Arabidopsis thaliana,0,2759,108,GEO,17-Nov-10
GPL10723,NCHU Tsaiya duck magnum triplicate array (condensed version),spotted DNA/cDNA,Anas platyrhynchos,2884,4,1,Mu-Chiou Huang,16-Nov-10
GPL10909,Listeria monocytogenes 12K whole genome array,spotted oligonucleotide,Listeria monocytogenes,12180,11,1,Frederike Fritsch,16-Nov-10
GPL11006,University of Michigan E_coli_CFT073 5.4K array,in situ oligonucleotide,Escherichia coli CFT073,5380,48,1,Harry Mobley,16-Nov-10
GPL11210,Silkworm 23K oligo array version 2.0,spotted oligonucleotide,Bombyx mori,24283,4,1,Ling Gan,16-Nov-10
GPL11211,Array-Ready Operon Mouse Genome Oligo Set v3.0,spotted oligonucleotide,Mus musculus,31780,8,1,Valerio Licursi,16-Nov-10
GPL11215,Illumina Genome Analyzer II (Methanobrevibacter smithii ATCC 35061),high-throughput sequencing,Methanobrevibacter smithii ATCC 35061,0,16,2,GEO,16-Nov-10
GPL11216,Illumina Genome Analyzer II (Methanobrevibacter smithii),high-throughput sequencing,Methanobrevibacter smithii,0,60,2,GEO,16-Nov-10
GPL10583,Baseman Mycoplasma genitalium oligo array,spotted oligonucleotide,Mycoplasmoides genitalium,1536,17,1,Wenbo Zhang,15-Nov-10
GPL10773,[Mouse430_2_Mm_REFSEQ] Affymetrix GeneChip Mouse Genome 430 2.0 Array [Brainarray Version 12],in situ oligonucleotide,Mus musculus,22587,26,4,GEO admin,15-Nov-10
GPL10815,NimbleGen Human 2.1M array [080131_HG18_WG_CGH_v2DCR_HX1],in situ oligonucleotide,Homo sapiens,2161679,3856,2,Yoon-Ha Lee,15-Nov-10
GPL10903,Candida albicans 45K assembly 21,in situ oligonucleotide,Candida albicans,45220,25,6,Alessandro Guida,15-Nov-10
GPL11085,NimbleGen Streptococcus pyogenes NZ131 intergenic array,in situ oligonucleotide,Streptococcus pyogenes NZ131,67188,0,0,Michael J Federle,15-Nov-10
GPL11175,SMD Print_1372 hor,spotted DNA/cDNA,Homo sapiens,44544,27,1,Stanford Microarray Database (SMD),15-Nov-10
GPL11176,SMD Print_1437 hov,spotted DNA/cDNA,Homo sapiens,44544,66,1,Stanford Microarray Database (SMD),15-Nov-10
GPL11177,SMD Print_1447 how,spotted DNA/cDNA,Homo sapiens,44544,10,1,Stanford Microarray Database (SMD),15-Nov-10
GPL11178,SMD Print_1448 hox,spotted DNA/cDNA,Homo sapiens,44544,36,1,Stanford Microarray Database (SMD),15-Nov-10
GPL11179,SMD Print_1484 hoz,spotted DNA/cDNA,Homo sapiens,44544,83,2,Stanford Microarray Database (SMD),15-Nov-10
GPL11209,[HuGene10stv1_Hs_ENSG] Affymetrix GeneChip Human Gene 1.0 ST Array [Brainarray Version 12],in situ oligonucleotide,Homo sapiens,22197,23,2,GEO admin,15-Nov-10
GPL11212,454 GS FLX (unidentified),high-throughput sequencing,unidentified,0,2,1,GEO,15-Nov-10
GPL11060,[CG_AGPa520460F] Affymetrix Adenoma Biomarker 46K Gene Chip v1.0,in situ oligonucleotide,Homo sapiens,46482,68,1,Iain Beeston,13-Nov-10
GPL11185,"Princeton Biocomplexity Project, BC010 array, Salt marsh fertilization experiment",spotted oligonucleotide,uncultured bacterium,39,48,1,Jennifer L Bowen,13-Nov-10
GPL11202,Agilent-026655 Whole Mouse Genome Microarray 4x44K v2 (Probe Name version),in situ oligonucleotide,Mus musculus,39486,4041,327,Agilent Technologies,12-Nov-10
GPL11203,Illumina Genome Analyzer IIx (Drosophila melanogaster),high-throughput sequencing,Drosophila melanogaster,0,1554,110,GEO,12-Nov-10
GPL11195,"Illumina Human Sentrix-8, ChipID 4403827059",oligonucleotide beads,Homo sapiens,49424,8,1,Ulrike Mareike Litzenburger,11-Nov-10
GPL10894,Streptomyces clavuligerus 7.4K Whole Genome MicroArray Release I,in situ oligonucleotide,Streptomyces clavuligerus,7348,4,1,Wilbert H.M. Heijne,10-Nov-10
GPL11114,UCSC-Cryptococcus neoformans H99 gene expression microarray,in situ oligonucleotide,Cryptococcus neoformans var. grubii H99,15738,2,1,ada florio,10-Nov-10
GPL11170,custom Agilent 4x44K rabbit microarray,in situ oligonucleotide,Oryctolagus cuniculus,23369,90,2,Pan Du,10-Nov-10
GPL11192,Illumina Genome Analyzer II (Glycine max),high-throughput sequencing,Glycine max,0,41,13,GEO,10-Nov-10
GPL10990,NimbleGen Bos taurus Whole-genome CGH 385k Array (Btau_4.0 version),in situ oligonucleotide,Bos taurus,378977,20,2,Pier Luigi Martelli,9-Nov-10
GPL11171,NimbleGen Caenorhabditis elegans Gene expression 4x72K Array,in situ oligonucleotide,Caenorhabditis elegans,23336,3,1,"NimbleGen Systems, Inc.",8-Nov-10
GPL11180,[HT_MG-430_PM] Affymetrix HT MG-430 PM Array Plate,in situ oligonucleotide,Mus musculus,45141,6889,277,"Affymetrix, Inc.",8-Nov-10
GPL11165,ARK-Genomics bovine 25k array v1,spotted DNA/cDNA,Bos taurus,25536,0,0,Michael Bryan Watson,6-Nov-10
GPL8837,[rhofispaa520260F] Custom Vibrio parahaemolyticus GeneChip Array (Affymetrix),in situ oligonucleotide,Vibrio parahaemolyticus RIMD 2210633,5189,55,4,Linda McCarter,5-Nov-10
GPL9471,Candida albicans 27.6K genome array,spotted oligonucleotide,Candida albicans,27648,25,5,Feng Yang,5-Nov-10
GPL10532,CGP Atlantic cod 20K oligo array v1.0,spotted oligonucleotide,Gadus morhua,20000,217,6,Marije Booman,5-Nov-10
GPL11164,NimbleGen GDR Malus domestica EST UnigeneV4 array,in situ oligonucleotide,Malus domestica,190135,24,1,Yanmin Zhu,5-Nov-10
GPL11166,Illumina Genome Analyzer (Apis mellifera),high-throughput sequencing,Apis mellifera,0,12,5,GEO,5-Nov-10
GPL11168,Illumina Genome Analyzer (Carthamus tinctorius),high-throughput sequencing,Carthamus tinctorius,0,3,1,GEO,5-Nov-10
GPL9679,Penaeus monodon 5K UniShrimp chip,spotted DNA/cDNA,Penaeus monodon,5376,3,1,nitsara karoonuthaisiri,4-Nov-10
GPL11023,Agilent_Dm_5.1_1M_tiling,in situ oligonucleotide,Drosophila melanogaster,953353,6,9,David M MacAlpine,4-Nov-10
GPL10893,UCSF/Kornberg-Drosophila Incyte array - 14151 features,spotted DNA/cDNA,Drosophila melanogaster,15950,14,2,Brian Biehs,3-Nov-10
GPL11157,[Cytogenetics_Array] Affymetrix Cytogenetics Whole-Genome 2.7M Array,in situ oligonucleotide,Homo sapiens,2795708,105,18,"Affymetrix, Inc.",3-Nov-10
GPL11160,454 GS (Saccharomyces cerevisiae),high-throughput sequencing,Saccharomyces cerevisiae,0,2,1,GEO,3-Nov-10
GPL10485,Dunham lab Human 16p Array H300A,spotted DNA/cDNA,Homo sapiens,707,6,1,Richard J Gibbons,2-Nov-10
GPL11017,Illumina MouseWG-6 v2.0 expression beadchip (gene version 2),oligonucleotide beads,Mus musculus,30774,66,5,Randall J. Roper,2-Nov-10
GPL11089,CapitalBio miRNA microarray V4.0,in situ oligonucleotide,Homo sapiens;Mus musculus;Rattus norvegicus,4800,2,1,Zhen Zhou,2-Nov-10
GPL11151,Rainbow trout 8k,in situ oligonucleotide,Oncorhynchus mykiss,8074,16,1,Tim Cavileer,2-Nov-10
GPL11153,Illumina Genome Analyzer II (Bos taurus),high-throughput sequencing,Bos taurus,0,298,12,GEO,2-Nov-10
GPL11154,Illumina HiSeq 2000 (Homo sapiens),high-throughput sequencing,Homo sapiens,0,171640,9807,GEO,2-Nov-10
GPL9355,Ocichip Human 40 K Set (chip A),spotted oligonucleotide,Homo sapiens,19700,32,4,Vibha Tandon,1-Nov-10
GPL9356,Ocichip Human 40 K Set (chip B),spotted oligonucleotide,Homo sapiens,19700,32,4,Vibha Tandon,1-Nov-10
GPL9693,Entamoeba histolytica E_his-1a520285F array (coding and non-coding regions),in situ oligonucleotide,Entamoeba histolytica,24255,12,3,Carol A Gilchrist,1-Nov-10
GPL9721,Bacillus cereus Bc14579 - 3rd design (11K array),in situ oligonucleotide,Bacillus cereus ATCC 14579,11240,23,1,Clint van Melis,1-Nov-10
GPL10504,Rocky Mountain Regional Center of Excellence Mouse 38K V4.0,spotted DNA/cDNA,Mus musculus,37632,108,1,Luke Kingry,1-Nov-10
GPL10562,BAMC-DCI GAS 12K ver1.0 [condensed version],in situ oligonucleotide,Streptococcus pyogenes M1 GAS;Streptococcus pyogenes MGAS10750;Streptococcus pyogenes MGAS2096;Streptococcus pyogenes MGAS315;Streptococcus pyogenes MGAS5005;Streptococcus pyogenes MGAS6180;Streptococcus pyogenes MGAS9429;Streptococcus pyogenes SSI-1,2726,14,1,Jeffrey Livezey,1-Nov-10
GPL10896,Agilent-024283 Viro5AG-60k,spotted DNA/cDNA,Viruses,12361,2,1,Charles Chiu,1-Nov-10
GPL10897,Viro4AG-15k,spotted DNA/cDNA,Viruses,12361,18,1,Charles Chiu,1-Nov-10
GPL10898,Viro5AGL-60k,spotted DNA/cDNA,Viruses,12361,9,1,Charles Chiu,1-Nov-10
GPL10962,Agilent Kluyveromyces latic 15K Array,spotted oligonucleotide,Kluyveromyces lactis,15208,24,2,Lauren N Booth,1-Nov-10
GPL11008,NimbleGen-Homo_sapiens-2.1M-hg18,in situ oligonucleotide,Homo sapiens,2173668,4,1,Vitalina Komashko,1-Nov-10
GPL10720,Nimblegen S. pombe 10K,spotted oligonucleotide,Schizosaccharomyces pombe,9994,14,4,Tomoyasu Sugiyama,31-Oct-10
GPL10073,"Biocenter Innsbruck EBV SHORT, 6152 v1.0",in situ oligonucleotide,Homo sapiens;Human herpesvirus 4 strain B95-8,6152,10,1,Roland Hutzinger,30-Oct-10
GPL11139,Exiqon Drosophila miRNA arrays,spotted oligonucleotide,Drosophila melanogaster,77,12,4,Bonini Nancy,29-Oct-10
GPL11088,Synechocystis sp. strain PCC 6803 12K full genome array version 4,spotted DNA/cDNA,Synechocystis sp. PCC 6803,12288,12,1,Tina Summerfield,28-Oct-10
GPL11121,"Mouse Interferon α, β RT² Profiler PCR Array (PAMM 016)",RT-PCR,Mus musculus,96,2,2,Saifur Rahman,28-Oct-10
GPL11122,Mouse Dendritic and Antigen Presenting Cell RT² Profiler PCR Array (PAMM 406),RT-PCR,Mus musculus,96,2,2,Saifur Rahman,28-Oct-10
GPL11140,454 GS (Chlamydophila pneumoniae CWL029),high-throughput sequencing,Chlamydia pneumoniae CWL029,0,8,1,GEO,28-Oct-10
GPL9018,NimbleGen Homo sapiens 385K CGH array,in situ oligonucleotide,Homo sapiens,385019,6,1,Johnny Yvan Deladoëy,27-Oct-10
GPL11063,NIAID Ssca -- Strongyloides stercoralis 4K - mAdb version,in situ oligonucleotide,Strongyloides stercoralis,3571,4,1,Timothy G Myers,27-Oct-10
GPL11113,Agilent-024656 ATCC17978_ec,in situ oligonucleotide,Acinetobacter baumannii,15744,8,2,Bart Eijkelkamp,27-Oct-10
GPL11117,Brucella 16M whole genome microarray,spotted DNA/cDNA,Brucella melitensis bv. 1 str. 16M,3192,8,2,Zeliang Chen,27-Oct-10
GPL11115,Illumina Genome Analyzer (Metarhizium anisopliae),high-throughput sequencing,Metarhizium anisopliae,0,2,1,GEO,26-Oct-10
GPL11116,Illumina Genome Analyzer (Metarhizium acridum),high-throughput sequencing,Metarhizium acridum,0,2,1,GEO,26-Oct-10
GPL6128,Drosophila melanogaster Aubergine ChIP,other,Drosophila melanogaster,854083,0,0,Hervé Seitz,25-Oct-10
GPL9872,SMD Print_1447 Homo sapiens,spotted DNA/cDNA,Homo sapiens,44544,1,1,Hongjuan Zhao,25-Oct-10
GPL9873,SMD Print_1524 Homo sapiens,spotted DNA/cDNA,Homo sapiens,44544,1,1,Hongjuan Zhao,25-Oct-10
GPL11110,Illumina Genome Analyzer II (Polysphondylium pallidum),high-throughput sequencing,Heterostelium pallidum,0,10,1,GEO,25-Oct-10
GPL11112,Illumina Genome Analyzer (Capsicum annuum; Meloidogyne incognita),high-throughput sequencing,Capsicum annuum;Meloidogyne incognita,0,1,1,GEO,25-Oct-10
GPL11093,[scrGLYCO-v1F] Custom Affymetrix Glyco v1 GeneChip,in situ oligonucleotide,Homo sapiens;Mus musculus,1814,224,19,Steven Head,23-Oct-10
GPL11094,[GLYCOv2a520086F] Custom Affymetrix Glyco v2 GeneChip,in situ oligonucleotide,Homo sapiens;Mus musculus,4682,402,28,Steven Head,23-Oct-10
GPL11095,[GLYCOv3_Hs] Custom Affymetrix Glyco v3 GeneChip,in situ oligonucleotide,Homo sapiens,1268,355,29,Steven Head,23-Oct-10
GPL11096,[GLYCOv3_Mm] Affymetrix Glyco v3 GeneChip,in situ oligonucleotide,Mus musculus,1183,160,19,Steven Head,23-Oct-10
GPL11097,[Glyco_v4_Hs] Custom Affymetrix Glyco v4 GeneChip,in situ oligonucleotide,Homo sapiens,1259,237,20,Steven Head,23-Oct-10
GPL11098,[Glyco_v4_Mm] Affymetrix Glyco v4 GeneChip,in situ oligonucleotide,Mus musculus,1246,197,13,Steven Head,23-Oct-10
GPL9663,University of Padova_Dicentrarchus labrax_4x44K array_v1.0,in situ oligonucleotide,Dicentrarchus labrax,39487,54,6,Serena Ferraresso,22-Oct-10
GPL9743,UPenn_canine_retinal_EST_4.5k array,spotted DNA/cDNA,Canis lupus familiaris,3527,12,1,Sem Genini,22-Oct-10
GPL11074,IATA  Lactobacillus casei ATCC 334 2.7k array_v1,spotted DNA/cDNA,Lacticaseibacillus paracasei ATCC 334,2688,12,2,Manuel Zúñiga,22-Oct-10
GPL11099,454 GS (Caenorhabditis elegans; Escherichia coli),high-throughput sequencing,Caenorhabditis elegans;Escherichia coli,0,1,1,GEO,22-Oct-10
GPL11102,454 GS (Danio rerio),high-throughput sequencing,Danio rerio,0,2,1,GEO,22-Oct-10
GPL10367,ECB human 19K oligoarrays,spotted oligonucleotide,Homo sapiens,19584,33,2,Rute Marques,21-Oct-10
GPL11077,WHOI Zebrafish 44k v1.0 custom-commercial Chemical Defensome,in situ oligonucleotide,Danio rerio,21893,40,2,Jared Goldstone,21-Oct-10
GPL11087,Illumina Genome Analyzer (Aedes aegypti),high-throughput sequencing,Aedes aegypti,0,24,6,GEO,21-Oct-10
GPL11067,JLUGiMM-rattus norvegicus-35k-v1.0,spotted oligonucleotide,Rattus norvegicus,35129,24,1,Andreas Christian Geisler,20-Oct-10
GPL11072,University of Sao Paulo-FCFRP/Molecular Biology Lab Aspergillus niger 4 X 44K v. 1.0,in situ oligonucleotide,Aspergillus niger,14110,46,5,Wagner Rodrigo de Souza,20-Oct-10
GPL11076,Illumina Genome Analyzer (Meloidogyne incognita),high-throughput sequencing,Meloidogyne incognita,0,1,1,GEO,20-Oct-10
GPL11036,SBC Rat cDNA Microarray,spotted DNA/cDNA,Rattus norvegicus,12288,0,0,xk teng,19-Oct-10
GPL11064,"J.Kim Yeast Operon (2005,2006,2007)",spotted oligonucleotide,Saccharomyces cerevisiae,6347,196,3,Daniel Francis Simola,19-Oct-10
GPL11066,EMBL/CodeLink Mouse 0.4K miCHIP v11,spotted oligonucleotide,Mus musculus,415,23,1,Mirco Castoldi,19-Oct-10
GPL11068,Agilent-013282 Human Genome CGH Microarray 44B (Probe name version),in situ oligonucleotide,Homo sapiens,42725,197,4,Agilent Technologies,19-Oct-10
GPL11069,Agilent-012750 Human Genome CGH Microarray 44A (Probe name version),in situ oligonucleotide,Homo sapiens,40219,11,1,Agilent Technologies,19-Oct-10
GPL10026,Agilent-016299 Nelson Whole Mouse Genome Microarray 4x44K (Feature Number version),in situ oligonucleotide,Mus musculus,42591,5,1,Ilsa Coleman,18-Oct-10
GPL10931,Agilent-016011 Corey Whole Human Genome Oligo Microarray 4x44K (Feature Number version),in situ oligonucleotide,Homo sapiens,38283,20,1,Ilsa Coleman,18-Oct-10
GPL9838,NCode Multi-Species miRBase Microarray V2,spotted oligonucleotide,Caenorhabditis elegans;Danio rerio;Drosophila melanogaster;Homo sapiens;Mus musculus;Rattus norvegicus,1141,8,1,Andrew Williams,17-Oct-10
GPL10907,Microarrays Inc. Human Genomic 49K MI Ready Array [HEEBO],spotted oligonucleotide,Homo sapiens,35302,32,2,Vanja Duric,17-Oct-10
GPL11048,FDA/CBER-human-16K-OMAD v1.0 & OMAD v1.1,spotted oligonucleotide,Homo sapiens,16659,26,8,Falko Schmeisser,16-Oct-10
GPL11059,NimbleGen Mus musculus MM8 Expression Array (4x72k),in situ oligonucleotide,Mus musculus,72000,36,3,"NimbleGen Systems, Inc.",16-Oct-10
GPL10812,UW_NimbleGen_Rat_321K_Array design 081105,in situ oligonucleotide,Rattus norvegicus,320742,12,3,John Svaren,15-Oct-10
GPL10846,NimbleGen Zmays 120K CGH array [091006_NS_Zmays_CGH_exp],in situ oligonucleotide,Zea mays,119609,58,1,Steve R Eichten,15-Oct-10
GPL10869,Bovine Oligo array 25K,spotted oligonucleotide,Bos taurus,25200,3,1,Isabelle Gilbert,15-Oct-10
GPL11040,Lawrence Livermore Microbial Detection Array version 2,in situ oligonucleotide,synthetic construct,36415,19,2,Kevin McLoughlin,15-Oct-10
GPL11051,Arabidopsis thaliana 34K NARC serie 8,spotted oligonucleotide,Arabidopsis thaliana,34992,27,6,Per Winge,15-Oct-10
GPL11053,Lawrence Livermore Microbial Detection Array version 1,in situ oligonucleotide,synthetic construct,64533,7,2,Kevin McLoughlin,15-Oct-10
GPL11055,Laval University-Arborea project 3.4K Populus trichocarpa x P. deltoides hybrid (clone H11-11),spotted DNA/cDNA,Populus trichocarpa x Populus deltoides,3298,8,1,John J MacKay,15-Oct-10
